Attendance,Assignment_Completion,Quiz_Average,Previous_Marks,Study_Hours,Risk_Level
75.7,69.6,87.9,77.0,13.5,Low Risk
50.9,47.1,59.6,61.2,6.6,High Risk
78.8,86.0,100.0,84.8,14.0,Low Risk
90.9,86.9,64.5,100.0,19.4,Low Risk
44.7,30.0,33.6,51.6,4.2,High Risk
56.8,62.8,41.6,43.5,2.0,High Risk
79.8,70.9,46.4,67.7,7.0,High Risk
64.2,53.0,75.7,68.8,13.1,High Risk
78.6,82.8,64.5,59.5,9.7,Medium Risk
63.5,64.1,63.2,67.3,9.9,Medium Risk
73.2,69.3,100.0,87.9,20.5,Medium Risk
95.9,100.0,76.2,85.0,11.8,Low Risk
68.4,78.2,64.0,77.7,7.7,Medium Risk
72.9,86.8,87.5,100.0,25.3,Low Risk
69.1,94.5,87.3,78.8,16.7,Medium Risk
50.8,58.9,47.5,53.1,7.0,High Risk
77.6,75.2,66.3,91.9,11.1,Low Risk
56.1,48.4,65.3,63.3,6.2,High Risk
81.3,89.6,86.6,80.4,12.6,Low Risk
76.9,74.5,42.7,68.2,16.3,Medium Risk
72.5,67.4,50.3,68.0,9.0,Medium Risk
65.3,51.1,75.1,61.4,14.0,High Risk
92.8,89.8,92.4,74.9,17.5,Low Risk
75.4,66.9,56.4,49.4,8.1,Medium Risk
47.0,48.9,59.1,52.0,9.2,High Risk
63.8,48.5,62.5,52.4,2.0,High Risk
59.8,84.2,85.3,71.0,15.2,Medium Risk
77.4,46.9,57.5,82.2,14.1,Medium Risk
77.7,78.5,64.5,74.2,18.4,Low Risk
87.4,71.2,78.2,78.5,7.6,High Risk
100.0,100.0,100.0,91.9,28.4,Low Risk
68.1,58.5,68.4,57.0,14.3,Medium Risk
60.3,69.6,45.1,66.8,15.4,Medium Risk
65.0,53.4,59.3,61.7,8.7,Medium Risk
75.9,80.5,91.0,71.5,20.1,Low Risk
87.8,95.0,91.9,90.0,12.8,Low Risk
79.3,63.2,67.8,91.3,15.3,Medium Risk
55.2,68.4,53.4,54.5,5.7,High Risk
67.7,46.7,44.8,47.4,2.3,High Risk
87.2,83.0,77.5,78.1,11.8,Low Risk
73.8,91.3,95.0,82.6,16.7,Low Risk
88.4,85.4,75.3,76.6,12.4,Low Risk
69.0,81.1,46.7,57.3,11.2,High Risk
76.2,65.1,65.8,57.1,6.9,High Risk
66.8,56.6,72.3,60.4,5.1,Medium Risk
67.3,62.3,67.0,71.1,19.6,Medium Risk
79.4,90.3,87.8,82.0,21.0,Low Risk
80.0,78.8,77.9,66.6,9.9,Medium Risk
72.9,81.3,89.5,78.6,16.4,Low Risk
76.9,58.7,86.2,70.8,17.4,Medium Risk
64.9,82.8,84.6,83.7,16.1,Medium Risk
79.0,66.0,66.9,78.6,16.7,Medium Risk
52.6,60.9,33.8,48.6,10.1,High Risk
89.5,96.6,62.0,57.6,8.5,Low Risk
53.0,67.0,55.1,67.3,10.8,High Risk
76.3,66.8,44.1,62.3,9.7,Medium Risk
69.5,60.5,58.3,73.8,10.5,Medium Risk
96.6,72.5,86.2,100.0,18.9,Low Risk
60.9,50.4,46.1,60.8,9.0,High Risk
89.6,72.5,79.7,84.4,18.0,Low Risk
47.1,30.0,55.2,43.1,2.0,High Risk
80.4,83.9,65.0,75.0,14.5,Medium Risk
70.2,75.4,100.0,64.6,9.9,Medium Risk
90.4,83.0,79.4,72.1,15.1,Low Risk
76.2,77.3,75.9,83.1,15.4,Low Risk
82.6,80.0,80.7,87.1,18.4,Low Risk
57.5,75.4,65.5,54.0,2.8,Medium Risk
69.6,62.7,65.8,60.3,14.3,Medium Risk
97.0,88.7,100.0,82.6,14.6,Low Risk
68.6,65.0,54.8,41.4,16.9,High Risk
52.4,47.1,57.9,44.9,4.7,High Risk
46.1,37.5,52.4,48.0,7.1,High Risk
57.1,34.5,34.4,51.6,16.1,High Risk
64.6,74.6,85.2,93.0,14.4,Low Risk
65.8,72.8,85.5,58.0,18.7,Medium Risk
83.7,66.2,68.8,71.7,16.6,High Risk
77.9,63.2,61.1,33.0,12.5,Medium Risk
99.5,73.0,49.8,66.4,14.1,Medium Risk
75.5,55.7,62.9,75.3,19.5,Low Risk
80.6,55.3,75.6,58.1,8.7,High Risk
80.6,81.3,69.7,88.9,11.3,Medium Risk
61.4,64.3,44.1,67.2,7.1,High Risk
70.8,51.9,64.9,63.7,11.6,Medium Risk
67.2,66.0,55.6,58.4,10.2,High Risk
56.3,63.3,43.2,60.0,9.9,High Risk
75.1,85.9,84.7,77.1,20.7,Medium Risk
52.8,61.9,46.5,52.0,6.7,High Risk
58.3,65.0,57.3,50.3,10.1,Medium Risk
84.6,70.3,77.5,72.3,9.7,Low Risk
75.8,81.8,86.8,84.9,23.4,Low Risk
76.0,82.1,93.5,100.0,17.5,Low Risk
70.7,75.4,58.4,68.0,14.4,High Risk
73.2,65.1,72.5,53.4,5.5,High Risk
72.5,77.8,57.3,54.6,12.6,High Risk
42.5,45.7,62.9,46.4,6.6,High Risk
62.8,56.9,31.2,30.0,4.8,High Risk
67.7,59.7,62.8,52.6,10.7,Medium Risk
62.5,46.2,44.2,61.0,17.3,High Risk
86.4,56.1,98.6,80.6,11.2,Low Risk
70.5,73.4,60.6,51.2,4.4,High Risk
76.9,67.2,49.8,68.8,7.6,Medium Risk
95.7,70.6,82.5,93.0,25.9,Low Risk
72.4,56.8,71.7,54.4,15.4,High Risk
87.0,89.6,92.4,100.0,16.1,Low Risk
49.1,52.9,52.2,49.3,8.5,High Risk
75.4,61.3,65.2,74.0,8.7,Medium Risk
46.5,71.2,61.9,30.0,11.8,High Risk
60.1,53.4,64.2,77.3,9.8,Low Risk
95.5,73.8,65.9,99.4,16.2,Low Risk
55.4,46.4,30.6,40.0,6.8,High Risk
91.5,80.8,77.8,82.5,14.4,Low Risk
